text;count;keyword
pintar;197;0
anjing;197;0
ttg;197;0
yai;197;0
ilmu;197;0
mundur;197;0
walau;196;0
antara;196;0
model;196;0
menuju;196;0
wkwkwk;196;0
selain;196;0
dikit;195;0
pertama;195;0
semuanya;195;0
situ;195;0
abis;195;0
tadi;194;0
komen;194;0
abu;194;0
suatu;194;0
aceh;194;1
istana;193;0
buta;193;0
dirinya;193;0
ribu;193;0
buruk;192;0
teman;192;0
jualan;192;0
untung;192;0
sebut;191;0
selesai;191;0
radikal;191;1
merah;191;0
gerindra;191;1
ngeles;190;0
pejabat;190;1
rocky;190;0
cocok;190;0
kartu;190;0
maklum;190;0
miskin;189;0
cina;189;1
nabi;189;1
pembangunan;189;1
disini;188;0
timses;188;1
sesama;188;0
ketawa;188;0
prabowobentengnkri;188;1
pa;187;0
anak2;187;0
jahat;187;0
menjaga;186;0
lanjut;186;0
kemaren;186;0
sma;186;0
follow;186;0
kosong;186;0
harapan;185;0
u;185;0
zaman;185;0
sesuatu;185;0
nunggu;185;0
teh;184;0
menghina;184;0
nanya;184;0
adanya;184;0
tolol;184;0
apa2;184;0
bumi;183;0
akibat;183;0
milik;183;0
mencari;182;0
dapet;182;0
pro;182;0
vs;182;0
akhir;182;0
siapapun;181;0
prabowobersamaulama;181;1
mulu;181;0
tanda;181;0
tepat;181;0
dekat;181;0
ikan;180;0
muncul;180;0
kader;180;0
aturan;180;0
ham;180;0
koruptor;180;1
psi;179;1
gampang;179;0
berharap;179;0
km;179;0
pernyataan;179;0
beneran;178;0
tengah;178;0
kyk;178;0
busuk;178;0
berubah;178;0
gaya;177;0
toh;177;0
lainnya;177;0
dianggap;177;0
giliran;176;0
kemudian;176;0
kadang;175;0
done;175;0
gmn;175;0
tugas;175;0
maksud;175;0
saatnya;174;0
trs;174;0
makar;174;0
disebut;173;0
adu;173;0
cerita;173;0
kecuali;173;0
memimpin;173;0
kabur;173;0
power;173;1
sementara;173;0
mk;172;0
baju;172;0
ketahuan;172;0
barisan;172;0
memiliki;172;0
mantul;172;0
up;171;0
lembaga;171;0
sedih;171;0
ngibul;171;0
kenal;171;0
info;171;0
munafik;170;0
layak;170;0
ngakak;170;0
modal;170;0
mengatakan;170;0
kelakuan;170;0
pdip;169;1
mental;169;0
we;169;0
drpd;168;1
anggap;168;0
tenang;168;0
kedua;168;0
org2;168;0
khilafah;167;0
tweet;167;0
pikiran;167;0
nenek;167;0
joko;167;1
pajak;167;0
uda;166;0
cucu;166;0
amanah;166;0
komunis;166;0
smua;165;0
tumbangkancaprespendusta;165;1
my;165;0
usaha;165;0
pasar;165;0
2019tetapjokowi;164;1
people;164;0
pertanyaan;164;0
nyungsep;164;0
ato;164;0
indonesiacallscartercenter;163;1
ps;163;0
bapakhoaxnasional;163;1
rusak;163;0
kebencian;163;0
hehe;163;0
jumat;162;0
peduli;162;0
thevictoryofprabowo;162;1
pendukungnya;162;0
gt;161;0
inget;161;0
kritik;161;0
minum;160;0
lahir;160;0
x;160;0
proyek;160;0
sikap;160;0
via;160;0
bahan;160;0
masjid;159;0
mahasiswa;159;0
ibadah;159;0
sengaja;159;0
pelaku;159;0
petugas;159;0
siang;159;0
tuk;158;0
angka;158;0
klw;158;0
esemka;157;0
menolak;157;0
ikutan;157;0
yra;157;0
penjara;157;0
kelas;157;0
massa;157;0
pindah;156;0
wis;156;0
cantik;156;0
so;156;0
menerima;156;0
prabowomenangdebat;156;1
narasi;156;0
ahmaddhanikorbanrezim;155;0
soalnya;155;0
akn;155;0
logika;155;0
beri;155;0
non;155;0
waduh;154;0
menggunakan;154;0
bersatu;154;0
sing;154;0
bahas;154;0
sebagian;154;0
o;153;0
ahli;153;0
kak;153;0
nyari;153;0
laku;153;0
tetapi;153;0
dijadikan;153;0
rame;153;0
kebaikan;153;0
benci;153;0
se;153;0
berhasil;152;0
yaaa;152;0
kesehatan;152;0
kondisi;152;0
pk;152;0
kini;151;0
bin;151;0
palsu;151;0
bego;151;0
adlh;150;0
aje;150;0
sulit;150;0
mesti;150;0
ad;150;0
barang;150;0
bakalan;150;0
perempuan;150;0
gelar;150;0
hati2;149;0
sya;149;0
diatas;149;0
duh;149;0
visi;149;0
th;149;0
sesungguhnya;149;0
kejadian;148;0
misi;148;0
kebijakan;148;1
milenial;148;1
buah;148;0
walaupun;148;0
kawan;148;0
nomor;148;0
alias;148;0
goreng;147;0
junjungan;147;0
nyang;147;0
cebi;147;0
qc;147;0
be;147;0
pesan;147;0
panjang;147;0
gratis;147;0
saksi;147;0
disana;147;0
berpikir;147;0
solusi;147;0
nilai;147;0
agak;146;0
jenderal;146;0
berdoa;146;0
hasilnya;146;0
klaim;146;0
terpilih;146;0
merusak;146;0
berbeda;146;0
barat;146;0
ucapan;145;0
isinya;145;0
ormas;145;0
genderuwo;145;0
jumlah;145;0
ditangkap;145;0
tkn;144;0
diberi;144;0
akalsehatpilihprabowosandi;144;1
anaknya;144;0
la;144;0
terakhir;144;0
bareng;144;0
tetangga;144;0
suci;144;0
6;144;0
wae;143;0
timur;143;0
tgl;143;0
kawal;143;0
indah;143;0
pidato;142;0
lgi;142;0
bentuk;142;0
rasanya;142;0
tokoh;142;0
disuruh;142;0
nangis;142;0
berada;142;0
wow;141;0
meninggal;141;0
bungkus;141;0
minggu;141;0
surga;141;0
politisi;140;1
pasukan;140;0
this;139;0
wahai;139;0
sumber;139;0
inggris;139;0
lanjutkan;139;0
mei;139;1
jokowibohonglagi;139;1
terimakasih;139;0
kelihatan;139;0
motor;139;0
total;139;0
