iter	Passed	Remaining
719	1058	411
720	1060	410
721	1061	408
722	1062	407
723	1064	405
724	1065	404
725	1067	402
726	1068	401
727	1070	399
728	1071	398
729	1072	396
730	1074	395
731	1075	393
732	1077	392
733	1078	390
734	1079	389
735	1081	387
736	1082	386
737	1084	384
738	1085	383
739	1087	382
740	1088	380
741	1090	379
742	1091	377
743	1093	376
744	1095	374
745	1096	373
746	1098	371
747	1100	370
748	1101	369
749	1103	367
750	1104	366
751	1106	364
752	1107	363
753	1108	361
754	1110	360
755	1111	358
756	1112	357
757	1114	355
758	1115	354
759	1116	352
760	1118	351
761	1119	349
762	1121	348
763	1122	346
764	1124	345
765	1125	343
766	1126	342
767	1128	340
768	1129	339
769	1131	337
770	1133	336
771	1134	335
772	1136	333
773	1137	332
774	1139	330
775	1140	329
776	1141	327
777	1143	326
778	1144	324
779	1146	323
780	1147	321
781	1149	320
782	1150	318
783	1152	317
784	1153	316
785	1155	314
786	1156	313
787	1158	311
788	1159	310
789	1160	308
790	1162	307
791	1163	305
792	1165	304
793	1166	302
794	1167	301
795	1169	299
796	1170	298
797	1172	296
798	1173	295
799	1175	293
800	1176	292
801	1178	290
802	1180	289
803	1181	287
804	1182	286
805	1184	285
806	1185	283
807	1187	282
808	1188	280
809	1190	279
810	1191	277
811	1193	276
812	1194	274
813	1196	273
814	1197	271
815	1199	270
816	1200	268
817	1202	267
818	1203	266
819	1205	264
820	1206	263
821	1208	261
822	1209	260
823	1211	258
824	1212	257
825	1214	255
826	1215	254
827	1216	252
828	1218	251
829	1219	249
830	1221	248
831	1222	246
832	1224	245
833	1225	243
834	1226	242
835	1228	240
836	1229	239
837	1231	238
838	1232	236
839	1234	235
840	1235	233
841	1237	232
842	1238	230
843	1239	229
844	1241	227
845	1242	226
846	1244	224
847	1245	223
848	1246	221
849	1248	220
850	1250	218
851	1251	217
852	1253	215
853	1254	214
854	1256	213
855	1257	211
856	1258	210
857	1260	208
858	1262	207
859	1263	205
860	1265	204
861	1266	202
862	1267	201
863	1269	199
864	1270	198
865	1272	196
866	1273	195
867	1274	193
868	1276	192
869	1277	190
870	1279	189
871	1280	188
872	1282	186
873	1284	185
874	1285	183
875	1286	182
876	1288	180
877	1289	179
878	1291	177
879	1292	176
880	1294	174
881	1295	173
882	1296	171
883	1298	170
884	1300	168
885	1301	167
886	1303	166
887	1304	164
888	1306	163
889	1307	161
890	1309	160
891	1310	158
892	1312	157
893	1313	155
894	1315	154
895	1316	152
896	1318	151
897	1319	149
898	1321	148
899	1323	147
900	1324	145
901	1325	144
902	1327	142
903	1328	141
904	1329	139
905	1331	138
906	1332	136
907	1333	135
908	1335	133
909	1336	132
910	1337	130
911	1339	129
912	1340	127
913	1342	126
914	1343	124
915	1345	123
916	1346	121
917	1348	120
918	1349	118
919	1350	117
920	1352	116
921	1353	114
922	1355	113
923	1357	111
924	1358	110
925	1359	108
926	1361	107
927	1362	105
928	1364	104
929	1365	102
930	1367	101
931	1368	99
932	1369	98
933	1370	96
934	1372	95
935	1373	93
936	1375	92
937	1376	90
938	1378	89
939	1379	88
940	1380	86
941	1382	85
942	1383	83
943	1385	82
944	1386	80
945	1387	79
946	1388	77
947	1389	76
948	1391	74
949	1393	73
950	1394	71
951	1395	70
952	1397	68
953	1399	67
954	1400	65
955	1402	64
956	1403	63
957	1405	61
958	1406	60
959	1408	58
960	1410	57
961	1411	55
962	1413	54
963	1414	52
964	1415	51
965	1417	49
966	1418	48
967	1420	46
968	1421	45
969	1423	44
970	1424	42
971	1425	41
972	1427	39
973	1428	38
974	1430	36
975	1431	35
976	1433	33
977	1434	32
978	1436	30
979	1437	29
980	1438	27
981	1440	26
982	1441	24
983	1443	23
984	1444	21
985	1445	20
986	1447	19
987	1448	17
988	1450	16
989	1452	14
990	1454	13
991	1455	11
992	1456	10
993	1458	8
994	1459	7
995	1460	5
996	1462	4
997	1463	2
998	1464	1
999	1466	0
